id,parent,region
170,4,ОЛЕКСАНДРІВКА
171,4,АМВРОСІЇВКА
172,4,ВУГЛЕГІРСЬК
173,4,СІВЕРСЬК
174,4,СВІТЛОДАРСЬК
175,4,СОЛЕДАР
176,4,ЧАСІВ ЯР
177,4,ВЕЛИКА НОВОСІЛКА
178,4,ВОЛНОВАХА
179,4,НІКОЛЬСЬКЕ
180,4,МАР'ЇНКА
181,4,КРАСНОГОРІВКА
182,4,КУРАХОВЕ
183,4,НОВОАЗОВСЬК
184,4,МАНГУШ
185,4,МИКОЛАЇВКА
186,4,СТАРОБЕШЕВЕ
187,4,КАЛЬМІУСЬКЕ
188,4,БОЙКІВСЬКЕ
189,5,ЖИТОМИР
190,5,БЕРДИЧІВ
191,5,КОРОСТЕНЬ
192,5,МАЛИН
193,5,НОВОГРАД-ВОЛИНСЬКИЙ
194,5,АНДРУШІВКА
195,5,БАРАНІВКА
196,5,БРУСИЛІВ
197,5,ХОРОШІВ
198,5,РОМАНІВ
199,5,ЄМІЛЬЧИНЕ
200,5,КОРОСТИШІВ
201,5,ЛУГИНИ
202,5,ЛЮБАР
203,5,НАРОДИЧІ
204,5,ОВРУЧ
205,5,ОЛЕВСЬК
206,5,ПОПІЛЬНЯ
207,5,РАДОМИШЛЬ
208,5,РУЖИН
209,5,ПУЛИНИ
210,5,ЧЕРНЯХІВ
211,5,ЧУДНІВ
212,6,УЖГОРОД
213,6,БЕРЕГОВЕ
214,6,МУКАЧЕВО
215,6,ХУСТ
216,6,ЧОП
217,6,ВЕЛИКИЙ БЕРЕЗНИЙ
218,6,ВИНОГРАДІВ
219,6,ВОЛОВЕЦЬ
220,6,ІРШАВА
221,6,МІЖГІР'Я
222,6,ПЕРЕЧИН
223,6,РАХІВ
224,6,СВАЛЯВА
225,6,ТЯЧІВ
226,7,ЗАПОРІЖЖЯ
227,7,БЕРДЯНСЬК
228,7,МЕЛІТОПОЛЬ
229,7,ТОКМАК
230,7,ЕНЕРГОДАР
231,7,ЯКИМІВКА
232,7,ВАСИЛІВКА
233,7,ДНІПРОРУДНЕ
234,7,ВЕЛИКОБІЛОЗЕРСЬКИЙ РАЙОН/С.ВЕЛИКА БІЛОЗЕРКА
235,7,ВЕСЕЛЕ
236,7,ВІЛЬНЯНСЬК
237,7,ГУЛЯЙПОЛЕ
238,7,КАМ'ЯНКА-ДНІПРОВСЬКА
239,7,БІЛЬМАК
240,7,МИХАЙЛІВКА
241,7,НОВОМИКОЛАЇВКА
242,7,ОРІХІВ
243,7,ПОЛОГИ
244,7,ПРИАЗОВСЬКЕ
245,7,ПРИМОРСЬК
246,7,РОЗІВКА
247,7,МОЛОЧАНСЬК
248,7,ЧЕРНІГІВКА
249,8,ІВАНО-ФРАНКІВСЬК
250,8,БОЛЕХІВ
251,8,БУРШТИН
252,8,КАЛУШ
253,8,КОЛОМИЯ
254,8,ЯРЕМЧЕ
255,8,БОГОРОДЧАНИ
256,8,ВЕРХОВИНА
257,8,ГАЛИЧ
258,8,ГОРОДЕНКА
259,8,ДОЛИНА
260,8,КОСІВ
261,8,НАДВІРНА
262,8,РОГАТИН
263,8,РОЖНЯТІВ
264,8,СНЯТИН
265,8,ТЛУМАЧ
266,8,ТИСМЕНИЦЯ
267,9,БІЛА ЦЕРКВА
268,9,БЕРЕЗАНЬ
269,9,БОРИСПІЛЬ
270,9,БРОВАРИ
271,9,ВАСИЛЬКІВ
272,9,БУЧА
273,9,ІРПІНЬ
274,9,ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ
275,9,ПРИП'ЯТЬ
276,9,ФАСТІВ
277,9,РЖИЩІВ
278,9,СЛАВУТИЧ
279,9,ОБУХІВ
280,9,БАРИШІВКА
281,9,УЗИН
282,9,БОГУСЛАВ
283,9,БОРОДЯНКА
284,9,ВОЛОДАРКА
285,9,ВИШГОРОД
286,9,ЗГУРІВКА
287,9,ІВАНКІВ
288,9,ЧОРНОБИЛЬ
289,9,КАГАРЛИК
290,9,КИЇВ
291,9,БОЯРКА
292,9,ВИШНЕВЕ
293,9,МАКАРІВ
294,9,МИРОНІВКА
295,9,УКРАЇНКА
296,9,КРАСЯТИЧІ
297,9,РОКИТНЕ
298,9,СКВИРА
299,9,СТАВИЩЕ
300,9,ТАРАЩА
301,9,ТЕТІЇВ
302,9,ЯГОТИН
303,10,КРОПИВНИЦЬКИЙ
304,10,ОЛЕКСАНДРІЯ
305,10,ЗНАМ'ЯНКА
306,10,СВІТЛОВОДСЬК
307,10,БОБРИНЕЦЬ
308,10,ГАЙВОРОН
309,10,ГОЛОВАНІВСЬК
310,10,ДОБРОВЕЛИЧКІВКА
311,10,ПОМІЧНА
312,10,ДОЛИНСЬКА
313,10,КОМПАНІЇВКА
314,10,МАЛА ВИСКА
315,10,НОВГОРОДКА
316,10,НОВОАРХАНГЕЛЬСЬК
317,10,НОВОМИРГОРОД
318,10,НОВОУКРАЇНКА
319,10,ВІЛЬШАНКА
320,10,ОНУФРІЇВКА
321,10,ПЕТРОВЕ
322,10,БЛАГОВІЩЕНСЬКЕ
323,10,УСТИНІВКА
324,11,ЛУГАНСЬК
325,11,ОЛЕКСАНДРІВСЬК
326,11,АНТРАЦИТ
327,11,БРЯНКА
328,11,ГОЛУБІВКА
329,11,АЛЧЕВСЬК
330,11,СОРОКИНЕ
331,11,МОЛОДОГВАРДІЙСЬК
332,11,СУХОДІЛЬСЬК
333,11,ХРУСТАЛЬНИЙ
334,11,БОКОВО-ХРУСТАЛЬНЕ
335,11,МІУСИНСЬК
336,11,ПЕТРОВО-КРАСНОСІЛЛЯ
337,11,ЛИСИЧАНСЬК
338,11,НОВОДРУЖЕСЬК
339,11,ПРИВІЛЛЯ
340,11,ПЕРВОМАЙСЬК
341,11,РОВЕНЬКИ
342,11,РУБІЖНЕ
343,11,ДОВЖАНСЬК
344,11,ВОЗНЕСЕНІВКА
345,11,СЄВЄРОДОНЕЦЬК
346,11,КАДІЇВКА
347,11,АЛМАЗНА
348,11,ІРМІНО
349,11,БІЛОВОДСЬК
350,11,БІЛОКУРАКИНЕ
351,11,КРЕМІННА
352,11,ЛУТУГИНЕ
353,11,МАРКІВКА
354,11,МІЛОВЕ
355,11,НОВОАЙДАР
356,11,ЩАСТЯ
357,11,НОВОПСКОВ
358,11,ПЕРЕВАЛЬСЬК
359,11,КИПУЧЕ
360,11,ЗОРИНСЬК
361,11,ПОПАСНА
362,11,ГІРСЬКЕ
363,11,ЗОЛОТЕ
364,11,СВАТОВЕ
365,11,СЛОВ'ЯНОСЕРБСЬК
366,11,ЗИМОГІР'Я
367,11,СТАНИЦЯ ЛУГАНСЬКА
368,11,СТАРОБІЛЬСЬК
369,11,ТРОЇЦЬКЕ
370,12,ЛЬВІВ
371,12,ВИННИКИ
372,12,БОРИСЛАВ
373,12,ДРОГОБИЧ
374,12,СТЕБНИК
375,12,МОРШИН
376,12,НОВИЙ РОЗДІЛ
377,12,САМБІР
378,12,СТРИЙ
379,12,ТРУСКАВЕЦЬ
380,12,ЧЕРВОНОГРАД
381,12,СОСНІВКА
382,12,БРОДИ
383,12,БУСЬК
384,12,ГОРОДОК
385,12,КОМАРНО
386,12,ЖИДАЧІВ
387,12,ХОДОРІВ
388,12,ЗОЛОЧІВ
389,12,ГЛИНЯНИ
390,12,КАМ'ЯНКА-БУЗЬКА
391,12,МОСТИСЬКА
392,12,СУДОВА ВИШНЯ
393,12,ЖОВКВА
394,12,ДУБЛЯНИ
395,12,РАВА-РУСЬКА
396,12,МИКОЛАЇВ
397,12,ПЕРЕМИШЛЯНИ
398,12,БІБРКА
399,12,ПУСТОМИТИ
400,12,РАДЕХІВ
401,12,НОВИЙ КАЛИНІВ
402,12,РУДКИ
403,12,СКОЛЕ
404,12,СОКАЛЬ
405,12,БЕЛЗ
406,12,ВЕЛИКІ МОСТИ
407,12,УГНІВ
408,12,СТАРИЙ САМБІР
409,12,ДОБРОМИЛЬ
410,12,ХИРІВ
411,12,ТУРКА
412,12,ЯВОРІВ
413,12,НОВОЯВОРІВСЬК
414,13,ВОЗНЕСЕНСЬК
415,13,ОЧАКІВ
416,13,ЮЖНОУКРАЇНСЬК
417,13,АРБУЗИНКА
418,13,БАШТАНКА
419,13,БЕРЕЗАНКА
420,13,БЕРЕЗНЕГУВАТЕ
421,13,БРАТСЬКЕ
422,13,ВЕСЕЛИНОВЕ
423,13,ВРАДІЇВКА
424,13,ДОМАНІВКА
425,13,ЄЛАНЕЦЬ
426,13,КАЗАНКА
427,13,КРИВЕ ОЗЕРО
428,13,НОВИЙ БУГ
429,13,НОВА ОДЕСА
430,13,СНІГУРІВКА
431,14,ОДЕСА
432,14,БАЛТА
433,14,БІЛГОРОД-ДНІСТРОВСЬКИЙ
434,14,БІЛЯЇВКА
435,14,ІЗМАЇЛ
436,14,ЧОРНОМОРСЬК
437,14,ПОДІЛЬСЬК
438,14,ТЕПЛОДАР
439,14,ЮЖНЕ
440,14,АНАНЬЇВ
441,14,АРЦИЗ
442,14,БЕРЕЗІВКА
443,14,БОЛГРАД
444,14,ВЕЛИКА МИХАЙЛІВКА
445,14,ІВАНІВКА
446,14,КІЛІЯ
447,14,ВИЛКОВЕ
448,14,КОДИМА
449,14,ДОБРОСЛАВ
450,14,ОКНИ
451,14,ЛЮБАШІВКА
452,14,ОВІДІОПОЛЬ
453,14,РОЗДІЛЬНА
454,14,РЕНІ
455,14,САВРАНЬ
456,14,САРАТА
457,14,ТАРУТИНЕ
458,14,ТАТАРБУНАРИ
459,14,ЗАХАРІВКА
460,14,ШИРЯЄВЕ
461,15,ПОЛТАВА
462,15,ГОРІШНІ ПЛАВНІ
463,15,ГАДЯЧ
464,15,КРЕМЕНЧУК
465,15,ЛУБНИ
466,15,МИРГОРОД
467,15,ВЕЛИКА БАГАЧКА
468,15,ГЛОБИНЕ
469,15,ГРЕБІНКА
470,15,ДИКАНЬКА
471,15,ЗІНЬКІВ
472,15,КАРЛІВКА
473,15,КОБЕЛЯКИ
474,15,КОЗЕЛЬЩИНА
475,15,КОТЕЛЬВА
476,15,ЛОХВИЦЯ
477,15,ЗАВОДСЬКЕ
478,15,МАШІВКА
479,15,НОВІ САНЖАРИ
480,15,ОРЖИЦЯ
481,15,ПИРЯТИН
482,15,РЕШЕТИЛІВКА
483,15,СЕМЕНІВКА
484,15,ХОРОЛ
485,15,ЧОРНУХИ
486,15,ЧУТОВЕ
487,15,ШИШАКИ
488,16,РІВНЕ
489,16,ДУБНО
490,16,ВАРАШ
491,16,ОСТРОГ
492,16,БЕРЕЗНЕ
